sample-id	shannon_entropy
ERR1513929	4.581430468840468
ERR1513930	5.133199639796133
ERR1513931	5.745469451436382
ERR1513932	3.9663852078475803
ERR1513933	5.907642634523352
ERR1513934	5.1194968958838825
ERR1513935	5.627123795258209
ERR1513937	2.8512190401912085
ERR1513938	3.6930800417114726
ERR1513939	5.188593153567399
ERR1513940	5.932385367303676
ERR1513942	2.670630631871571
ERR1513943	4.627473945303013
ERR1513944	2.455624277397408
ERR1513946	4.514002813895979
ERR1513947	5.876963790734346
ERR1513948	5.7531898566895325
ERR1513949	4.649404519353809
ERR1513950	4.035457705802449
ERR1513951	3.893277408820198
ERR1513952	4.570215659379132
ERR1513953	5.959113993348801
ERR1513954	4.955890997287764
ERR1513955	5.629657289553196
ERR1513956	4.70093900253538
ERR1513957	5.4617199734319675
ERR1513958	4.614654225828588
ERR1513959	4.9793842107191875
ERR1513960	4.252414976671876
ERR1513961	4.850868614892308
ERR1513962	5.557375443931527
ERR1513963	4.867552007226149
ERR1513965	5.508750239351157
ERR1513966	4.228130156658449
ERR1513967	3.976061943429914
ERR1513968	4.232617371931944
ERR1513969	3.488037313259682
ERR1513970	2.8400347656112044
ERR1513971	6.403175884079066
ERR1513973	3.3501745656510886
ERR1513974	4.27285489934385
ERR1513975	4.058301786995632
ERR1513976	3.9711089202846908
ERR1513977	5.384073266742686
ERR1513978	4.498228265868231
ERR1513979	3.8620788701306514
ERR1513980	4.118124426334296
ERR1513981	5.099116881660108
ERR1513983	4.858514774886952
ERR1513984	5.223582952189576
ERR1513985	4.5875711995335315
ERR1513986	3.898241505531131
ERR1513987	5.4104989591502255
ERR1513988	6.318269651031277
ERR1513989	5.612873905494529
ERR1513990	4.47479531784387
ERR1513991	4.7885122462984295
ERR1513992	4.706862771663818
ERR1513993	5.914007511384674
ERR1513994	4.098224564597905
ERR1513995	4.058023908379565
ERR1513996	5.32346803202115
ERR1513997	4.648184230852643
ERR1513998	5.64275026416368
ERR1513999	4.732833593827935
ERR1514000	3.7091483745771336
ERR1514001	5.412688371351179
ERR1514002	4.32863279319495
ERR1514003	4.119008613044148
ERR1514004	5.751710870036913
ERR1514005	5.819558482722667
ERR1514006	5.295277090679432
ERR1514007	5.601970808095383
ERR1514008	5.067518534305415
ERR1514009	4.87688300739727
ERR1514010	5.375614944405825
ERR1514011	3.7993202511133477
ERR1514012	4.9620568749044445
ERR1514013	4.55715692496379
ERR1514014	4.561939299102321
ERR1514015	2.5948109173551535
